dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.7948265769980555,0.08467984904807037,0.1073288768529892
ETTm,amazon/chronos-t5-small,0.902088476246495,0.07332242143727338,0.1383928507566452
dominick,amazon/chronos-t5-small,3.2930646771191294,0.9737818162559964,0.2664114534854889
ercot,amazon/chronos-t5-small,0.5878282814504199,0.030028855333903894,0.1360677033662796
exchange_rate,amazon/chronos-t5-small,2.5709050593714022,0.020170599890967048,0.06302083283662796
m4_quarterly,amazon/chronos-t5-small,1.5217707557410618,0.10099371621500475,0.12041015923023224
m4_yearly,amazon/chronos-t5-small,4.309600427186238,0.1614709335677709,0.12747009098529816
monash_australian_electricity,amazon/chronos-t5-small,1.1496343934604698,0.07518808528968614,0.18567708134651184
monash_car_parts,amazon/chronos-t5-small,3.3221450368175653,3.643093861911327,0.22428752481937408
monash_cif_2016,amazon/chronos-t5-small,1.1445105592781815,0.039547260338706744,0.11856192350387573
monash_covid_deaths,amazon/chronos-t5-small,48.428621240170415,0.1162949869132076,0.07632362842559814
monash_fred_md,amazon/chronos-t5-small,0.7497394334895592,0.04729396802042924,0.07846572995185852
monash_hospital,amazon/chronos-t5-small,0.9352238348562274,0.06823564542464042,0.1060272753238678
monash_m1_monthly,amazon/chronos-t5-small,1.3439011782873884,0.15037703434912314,0.1214546263217926
monash_m1_quarterly,amazon/chronos-t5-small,2.0450745950616764,0.10739153068999213,0.12977218627929688
monash_m1_yearly,amazon/chronos-t5-small,5.198283239913969,0.17630404867080018,0.12569060921669006
monash_m3_monthly,amazon/chronos-t5-small,1.069289381857907,0.11853314762530709,0.12056002020835876
monash_m3_quarterly,amazon/chronos-t5-small,1.584839162436644,0.09700857452873436,0.1197916716337204
monash_m3_yearly,amazon/chronos-t5-small,3.879867007767441,0.19178619053369195,0.12814921140670776
monash_nn5_weekly,amazon/chronos-t5-small,0.9936853024118854,0.09261382567116813,0.11838401854038239
monash_tourism_monthly,amazon/chronos-t5-small,2.0365664930240324,0.12223765223860569,0.12193334102630615
monash_tourism_quarterly,amazon/chronos-t5-small,1.8994058209443287,0.07820423966767164,0.12419496476650238
monash_tourism_yearly,amazon/chronos-t5-small,4.107274062232313,0.189985332138587,0.12895148992538452
monash_traffic,amazon/chronos-t5-small,0.7770586915666492,0.2282761789422635,0.10694605857133865
monash_weather,amazon/chronos-t5-small,1.1394808509379732,0.18571377216982995,0.05793742835521698
nn5,amazon/chronos-t5-small,0.6513376093242182,0.17916930508492787,0.12141048163175583
