dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8193523487596588,0.0811909672847105,0.0640578493475914
ETTm,amazon/chronos-t5-small,0.8485689482210395,0.06846943177065669,0.1165829673409462
dominick,amazon/chronos-t5-small,1.5316750222999502,0.5868433294595881,0.31427010893821716
ercot,amazon/chronos-t5-small,0.5600694360073297,0.021552632370037312,0.1938883513212204
exchange_rate,amazon/chronos-t5-small,2.1659549426584706,0.01484138422085867,0.13779295980930328
m4_quarterly,amazon/chronos-t5-small,1.4753900499912513,0.09964870968543808,0.06456746906042099
m4_yearly,amazon/chronos-t5-small,4.241272996059784,0.16182339926823786,0.0660790354013443
monash_australian_electricity,amazon/chronos-t5-small,1.1265148226726764,0.07412989029611552,0.2609700560569763
monash_car_parts,amazon/chronos-t5-small,2.2193420292239288,2.179545145953344,0.3361152410507202
monash_cif_2016,amazon/chronos-t5-small,1.1093608333323692,0.020439925072368532,0.0509982593357563
monash_covid_deaths,amazon/chronos-t5-small,46.86502859969094,0.08409074221675095,0.17519089579582214
monash_fred_md,amazon/chronos-t5-small,0.5708929514738169,0.02044200633599155,0.09893398731946945
monash_hospital,amazon/chronos-t5-small,0.8689034487364962,0.06424572599215392,0.03127206861972809
monash_m1_monthly,amazon/chronos-t5-small,1.316572946499529,0.14794245265369,0.05629487708210945
monash_m1_quarterly,amazon/chronos-t5-small,2.024256863311443,0.11768471919857577,0.07220789790153503
monash_m1_yearly,amazon/chronos-t5-small,5.061487512788536,0.17353397277428187,0.05263006314635277
monash_m3_monthly,amazon/chronos-t5-small,1.0336982600097733,0.11574557135994754,0.07313276827335358
monash_m3_quarterly,amazon/chronos-t5-small,1.5200005230202198,0.0977118082580363,0.06131288409233093
monash_m3_yearly,amazon/chronos-t5-small,3.7387718508444356,0.18151461247119693,0.056669894605875015
monash_nn5_weekly,amazon/chronos-t5-small,0.9555876507173487,0.0903363184796965,0.04369017481803894
monash_tourism_monthly,amazon/chronos-t5-small,2.0131930325452365,0.12569244717783323,0.04559870809316635
monash_tourism_quarterly,amazon/chronos-t5-small,1.9111010005566378,0.0911755765153652,0.04963316395878792
monash_tourism_yearly,amazon/chronos-t5-small,3.967673306813688,0.20384307064267854,0.053812745958566666
monash_traffic,amazon/chronos-t5-small,0.8005726078484051,0.23976679958038905,0.05764324218034744
monash_weather,amazon/chronos-t5-small,1.0105210650007779,0.1680928853813194,0.10922012478113174
nn5,amazon/chronos-t5-small,0.6582298963082526,0.1827020781135992,0.04375050589442253
