dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8428465291113603,0.08593344672918006,0.1712239533662796
ETTm,amazon/chronos-t5-small,0.8248860474354636,0.0714210684002569,0.2387462854385376
dominick,amazon/chronos-t5-small,0.970833431447009,0.37921934490590586,0.08177392184734344
ercot,amazon/chronos-t5-small,0.5639162774665838,0.022173981020111724,0.25830078125
exchange_rate,amazon/chronos-t5-small,2.160153330569124,0.015502871797263139,0.3411458432674408
m4_quarterly,amazon/chronos-t5-small,1.477582223380392,0.10222963521678469,0.14225813746452332
m4_yearly,amazon/chronos-t5-small,4.23351997845124,0.164615794929048,0.13454756140708923
monash_australian_electricity,amazon/chronos-t5-small,1.1318226933989355,0.07525142561576237,0.40416666865348816
monash_car_parts,amazon/chronos-t5-small,1.0415047453614168,1.2161479848638042,0.08703312277793884
monash_cif_2016,amazon/chronos-t5-small,1.1149848301878014,0.020129739696835774,0.10930266231298447
monash_covid_deaths,amazon/chronos-t5-small,46.92924607274111,0.08661773505448028,0.24852366745471954
monash_fred_md,amazon/chronos-t5-small,0.5722565811773327,0.021058134531597834,0.25121691823005676
monash_hospital,amazon/chronos-t5-small,0.8672555658019291,0.06631222492637201,0.09669029712677002
monash_m1_monthly,amazon/chronos-t5-small,1.3177620292018455,0.15192233578845935,0.12292060256004333
monash_m1_quarterly,amazon/chronos-t5-small,2.0238544712724087,0.12143933542172841,0.14089439809322357
monash_m1_yearly,amazon/chronos-t5-small,5.050850002952281,0.17671478432450907,0.11976289004087448
monash_m3_monthly,amazon/chronos-t5-small,1.035207041709309,0.11831084753656396,0.15124227106571198
monash_m3_quarterly,amazon/chronos-t5-small,1.5219635184904323,0.10094758368778832,0.13884754478931427
monash_m3_yearly,amazon/chronos-t5-small,3.723015809105696,0.183951123905793,0.11705425381660461
monash_nn5_weekly,amazon/chronos-t5-small,0.9584304113852086,0.09168510435213804,0.0881897509098053
monash_tourism_monthly,amazon/chronos-t5-small,2.030750402625475,0.12788271172888116,0.0995524451136589
monash_tourism_quarterly,amazon/chronos-t5-small,1.9280533479821058,0.09317449740273176,0.10002560913562775
monash_tourism_yearly,amazon/chronos-t5-small,3.9930515277344627,0.20599555255794672,0.1071428582072258
monash_traffic,amazon/chronos-t5-small,0.8712881471065484,0.27651577376552344,0.16134501993656158
monash_weather,amazon/chronos-t5-small,0.966224487344238,0.16692038753013913,0.10114272683858871
nn5,amazon/chronos-t5-small,0.6610919693902279,0.18662751091544483,0.09182955324649811
