dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8150114368411232,0.0908822608156817,0.1655506044626236
ETTm,amazon/chronos-t5-small,0.9486140030409832,0.08026226146716287,0.2632068395614624
dominick,amazon/chronos-t5-small,0.9864627401661382,0.39145210567674593,0.07684145867824554
ercot,amazon/chronos-t5-small,0.5613232912941474,0.021976980036556727,0.2864583432674408
exchange_rate,amazon/chronos-t5-small,2.097693337162637,0.015093008138047878,0.34687501192092896
m4_quarterly,amazon/chronos-t5-small,1.4822520302663111,0.10278395883437225,0.1804511696100235
m4_yearly,amazon/chronos-t5-small,4.23430543249807,0.16449314392994968,0.1726721078157425
monash_australian_electricity,amazon/chronos-t5-small,1.1521025650995782,0.07734721421067103,0.4151041805744171
monash_car_parts,amazon/chronos-t5-small,1.0852328365030055,1.2677035852358631,0.07399769127368927
monash_cif_2016,amazon/chronos-t5-small,1.1149001554750717,0.01538003712250289,0.1475694477558136
monash_covid_deaths,amazon/chronos-t5-small,47.780138238130554,0.1128730973391954,0.2529526948928833
monash_fred_md,amazon/chronos-t5-small,0.6205958132036176,0.046089728464090686,0.2704925835132599
monash_hospital,amazon/chronos-t5-small,0.8805940995187619,0.06668988635179687,0.13007931411266327
monash_m1_monthly,amazon/chronos-t5-small,1.3277650622698813,0.15054593765372815,0.15985165536403656
monash_m1_quarterly,amazon/chronos-t5-small,2.013868581074365,0.11158580851495767,0.18384391069412231
monash_m1_yearly,amazon/chronos-t5-small,5.10550905814575,0.1743022131555342,0.1489410698413849
monash_m3_monthly,amazon/chronos-t5-small,1.0388410830293868,0.11967758421150226,0.1866270750761032
monash_m3_quarterly,amazon/chronos-t5-small,1.5373354714405356,0.0990425672082629,0.17675264179706573
monash_m3_yearly,amazon/chronos-t5-small,3.773314905847168,0.2007451783834804,0.158866286277771
monash_nn5_weekly,amazon/chronos-t5-small,0.9798254995294887,0.0946171547904911,0.1272522509098053
monash_tourism_monthly,amazon/chronos-t5-small,2.058350152683072,0.12535401882795794,0.13793544471263885
monash_tourism_quarterly,amazon/chronos-t5-small,1.9135381648507608,0.08193270130811381,0.13996630907058716
monash_tourism_yearly,amazon/chronos-t5-small,4.130043031143221,0.1945338088987239,0.14943291246891022
monash_traffic,amazon/chronos-t5-small,0.858678658644101,0.2737090950260602,0.19429440796375275
monash_weather,amazon/chronos-t5-small,0.9659058786136799,0.16888803168411273,0.12678155303001404
nn5,amazon/chronos-t5-small,0.6497507772478778,0.18284269452732896,0.12813706696033478
