dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8288384530474223,0.0816099976031007,0.0824032798409462
ETTm,amazon/chronos-t5-small,0.8448759926624211,0.06828301822290551,0.1248604953289032
dominick,amazon/chronos-t5-small,1.5628008364258015,0.5902484506639557,0.31045112013816833
ercot,amazon/chronos-t5-small,0.5637952400412201,0.021499459901359964,0.1622721254825592
exchange_rate,amazon/chronos-t5-small,2.185277352531665,0.014741541081277058,0.16119791567325592
m4_quarterly,amazon/chronos-t5-small,1.4772061736362054,0.0998157090176183,0.07992983609437943
m4_yearly,amazon/chronos-t5-small,4.243418323456289,0.1619179376304193,0.08166621625423431
monash_australian_electricity,amazon/chronos-t5-small,1.1339264752880145,0.0740697788743127,0.28782549500465393
monash_car_parts,amazon/chronos-t5-small,2.2168095765300766,2.20149767681372,0.31619638204574585
monash_cif_2016,amazon/chronos-t5-small,1.109990126536138,0.020113028897517666,0.0560438372194767
monash_covid_deaths,amazon/chronos-t5-small,46.74409916080101,0.08401297275814014,0.16123512387275696
monash_fred_md,amazon/chronos-t5-small,0.5774059852344507,0.02075980484739988,0.1071724146604538
monash_hospital,amazon/chronos-t5-small,0.8748175452515821,0.06508925737029954,0.047462381422519684
monash_m1_monthly,amazon/chronos-t5-small,1.3186001100340803,0.14720590524089136,0.0724087804555893
monash_m1_quarterly,amazon/chronos-t5-small,2.0231202915135595,0.11814050115893433,0.08752502501010895
monash_m1_yearly,amazon/chronos-t5-small,5.068800110476565,0.1736249984410381,0.07211096584796906
monash_m3_monthly,amazon/chronos-t5-small,1.0349743108917098,0.1160217681013172,0.08844562619924545
monash_m3_quarterly,amazon/chronos-t5-small,1.5224260941179046,0.0978339304967472,0.07389581948518753
monash_m3_yearly,amazon/chronos-t5-small,3.743027055140427,0.1816539786488514,0.0720122829079628
monash_nn5_weekly,amazon/chronos-t5-small,0.9565977222181689,0.09017084965665847,0.056834179908037186
monash_tourism_monthly,amazon/chronos-t5-small,2.014882879455411,0.12607084321886988,0.06208553537726402
monash_tourism_quarterly,amazon/chronos-t5-small,1.9107144691385205,0.09002534664953488,0.06496541947126389
monash_tourism_yearly,amazon/chronos-t5-small,3.9727538319024966,0.2009391516776373,0.0697016716003418
monash_traffic,amazon/chronos-t5-small,0.8005684468490954,0.24002397064774023,0.07343025505542755
monash_weather,amazon/chronos-t5-small,1.0119229630952467,0.16864708575702855,0.10747093707323074
nn5,amazon/chronos-t5-small,0.658488970032281,0.18314241879983462,0.058621399104595184
