dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8258844144836294,0.08209929645015605,0.1406249850988388
ETTm,amazon/chronos-t5-small,0.8495747604116038,0.06871861520384427,0.1711309552192688
dominick,amazon/chronos-t5-small,1.7180094094239275,0.6143720411593155,0.27130600810050964
ercot,amazon/chronos-t5-small,0.5734166474647497,0.021490169781845474,0.2086588591337204
exchange_rate,amazon/chronos-t5-small,2.2009472928396936,0.015366159573225267,0.20130208134651184
m4_quarterly,amazon/chronos-t5-small,1.4884089801519471,0.10067052888295551,0.14318488538265228
m4_yearly,amazon/chronos-t5-small,4.259681258048407,0.16269812366427244,0.14434964954853058
monash_australian_electricity,amazon/chronos-t5-small,1.1355031919270862,0.0739294190295156,0.3127604126930237
monash_car_parts,amazon/chronos-t5-small,2.243547317895586,2.309113158700736,0.23425814509391785
monash_cif_2016,amazon/chronos-t5-small,1.1182932463468518,0.020851220760485747,0.12319155037403107
monash_covid_deaths,amazon/chronos-t5-small,46.76743833135142,0.08354368131435366,0.12878288328647614
monash_fred_md,amazon/chronos-t5-small,0.5844190916826585,0.02137625228608089,0.15683411061763763
monash_hospital,amazon/chronos-t5-small,0.9039989117286853,0.0660554193973965,0.10899472236633301
monash_m1_monthly,amazon/chronos-t5-small,1.328886982595209,0.1511101220696119,0.1341448277235031
monash_m1_quarterly,amazon/chronos-t5-small,2.0372763901720674,0.12355469771255903,0.1525169014930725
monash_m1_yearly,amazon/chronos-t5-small,5.087327564936075,0.17371966351697485,0.13800646364688873
monash_m3_monthly,amazon/chronos-t5-small,1.0454867372954866,0.117229495000986,0.15089333057403564
monash_m3_quarterly,amazon/chronos-t5-small,1.532255970394803,0.09858941032539315,0.13911624252796173
monash_m3_yearly,amazon/chronos-t5-small,3.7611236852977914,0.18293198349469997,0.13926035165786743
monash_nn5_weekly,amazon/chronos-t5-small,0.9710340674961137,0.0928849334490793,0.11859515309333801
monash_tourism_monthly,amazon/chronos-t5-small,2.026184709863179,0.12716357219903812,0.1259249895811081
monash_tourism_quarterly,amazon/chronos-t5-small,1.9286470607274013,0.09241442307673149,0.12983021140098572
monash_tourism_yearly,amazon/chronos-t5-small,3.981146306070981,0.20267993737196444,0.13311414420604706
monash_traffic,amazon/chronos-t5-small,0.8047842292134604,0.24274031530714735,0.1328578144311905
monash_weather,amazon/chronos-t5-small,1.031153559217683,0.1727452780826152,0.10857558995485306
nn5,amazon/chronos-t5-small,0.6652587395719516,0.18522582348844774,0.12262710183858871
