dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8287612453629346,0.08513999979084258,0.0865885391831398
ETTm,amazon/chronos-t5-small,0.9029610904977241,0.0735821755777395,0.1006324365735054
dominick,amazon/chronos-t5-small,3.3085482033450266,0.9606914764026371,0.40014344453811646
ercot,amazon/chronos-t5-small,0.5864151144333068,0.026945216984763935,0.0423177033662796
exchange_rate,amazon/chronos-t5-small,2.531842307790361,0.019821554519645606,0.04674479365348816
m4_quarterly,amazon/chronos-t5-small,1.5020851430644084,0.09972840994805425,0.08027540147304535
m4_yearly,amazon/chronos-t5-small,4.286710141802471,0.16062584189490886,0.08816643059253693
monash_australian_electricity,amazon/chronos-t5-small,1.1438437596301603,0.07277557252604873,0.15221354365348816
monash_car_parts,amazon/chronos-t5-small,3.3241210420355687,3.578304274038638,0.3259240686893463
monash_cif_2016,amazon/chronos-t5-small,1.1325542674659357,0.0261874268803217,0.08069299906492233
monash_covid_deaths,amazon/chronos-t5-small,47.89627085687508,0.1109990723240399,0.19079729914665222
monash_fred_md,amazon/chronos-t5-small,0.6614461551617725,0.0442233851553402,0.048116233199834824
monash_hospital,amazon/chronos-t5-small,0.9122205112483444,0.06752739231631771,0.06546066701412201
monash_m1_monthly,amazon/chronos-t5-small,1.3316687902886157,0.14543594542405094,0.08670145273208618
monash_m1_quarterly,amazon/chronos-t5-small,2.026178898541121,0.1028944609011605,0.08435960114002228
monash_m1_yearly,amazon/chronos-t5-small,5.164536589693719,0.17315898756857162,0.08379373699426651
monash_m3_monthly,amazon/chronos-t5-small,1.0531801061239372,0.11634143986187445,0.08216133713722229
monash_m3_quarterly,amazon/chronos-t5-small,1.568603031248902,0.09563733780714254,0.07436342537403107
monash_m3_yearly,amazon/chronos-t5-small,3.838184152505032,0.18867053301368802,0.08476260304450989
monash_nn5_weekly,amazon/chronos-t5-small,0.9734719610601891,0.09008693291340218,0.08470580726861954
monash_tourism_monthly,amazon/chronos-t5-small,2.025527409126416,0.12131557244687412,0.0843614786863327
monash_tourism_quarterly,amazon/chronos-t5-small,1.8927883250932904,0.07726763409407224,0.08416276425123215
monash_tourism_yearly,amazon/chronos-t5-small,4.099964770184301,0.18995588744696268,0.0887276828289032
monash_traffic,amazon/chronos-t5-small,0.7683688703833367,0.2247077243250567,0.06715397536754608
monash_weather,amazon/chronos-t5-small,1.119790943664995,0.18253059203506505,0.05778169631958008
nn5,amazon/chronos-t5-small,0.6478404083783587,0.17803148119139928,0.08193069696426392
