dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.815720552110698,0.0848046425048987,0.0554315447807312
ETTm,amazon/chronos-t5-small,0.8948911567290635,0.07348149212661041,0.0690104216337204
dominick,amazon/chronos-t5-small,3.3092635985263836,0.9533118877595351,0.4896361529827118
ercot,amazon/chronos-t5-small,0.5963870255401593,0.02531373923766852,0.055501293390989304
exchange_rate,amazon/chronos-t5-small,2.4530061246162536,0.017683673181015012,0.012890620157122612
m4_quarterly,amazon/chronos-t5-small,1.4936751035534208,0.09918953552354252,0.05330647900700569
m4_yearly,amazon/chronos-t5-small,4.276312497774171,0.16016741933503417,0.06398754566907883
monash_australian_electricity,amazon/chronos-t5-small,1.1512446378650836,0.072657213671732,0.15286459028720856
monash_car_parts,amazon/chronos-t5-small,3.333624065090862,3.5479188318023755,0.4084436595439911
monash_cif_2016,amazon/chronos-t5-small,1.1139637548305574,0.022673350473075206,0.0566948838531971
monash_covid_deaths,amazon/chronos-t5-small,47.75576282898226,0.10609846302789143,0.2536281943321228
monash_fred_md,amazon/chronos-t5-small,0.6460507959229355,0.04446410221868067,0.04393009841442108
monash_hospital,amazon/chronos-t5-small,0.8963595670277433,0.06658029352618929,0.037914905697107315
monash_m1_monthly,amazon/chronos-t5-small,1.3295998434339922,0.14392490915502876,0.05882096663117409
monash_m1_quarterly,amazon/chronos-t5-small,2.0148827226151824,0.10385581410101631,0.06184575334191322
monash_m1_yearly,amazon/chronos-t5-small,5.144369281878429,0.17340018349446218,0.0636797845363617
monash_m3_monthly,amazon/chronos-t5-small,1.048517866215889,0.11570073196190951,0.05523337423801422
monash_m3_quarterly,amazon/chronos-t5-small,1.5582701142619828,0.09475558627399076,0.04948433116078377
monash_m3_yearly,amazon/chronos-t5-small,3.8407682120058566,0.1877895760642097,0.06057009473443031
monash_nn5_weekly,amazon/chronos-t5-small,0.9651466861910982,0.09006576434240644,0.0573444589972496
monash_tourism_monthly,amazon/chronos-t5-small,2.0174924022035405,0.12126906023101218,0.0575140155851841
monash_tourism_quarterly,amazon/chronos-t5-small,1.8829212808318025,0.07659473333504589,0.060016289353370667
monash_tourism_yearly,amazon/chronos-t5-small,4.0978824659892945,0.18790923129778866,0.06676822155714035
monash_traffic,amazon/chronos-t5-small,0.764046850027385,0.22331788012355838,0.044425662606954575
monash_weather,amazon/chronos-t5-small,1.1094900858375614,0.18092681780527015,0.06955599039793015
nn5,amazon/chronos-t5-small,0.6446199582792125,0.17708755672395116,0.05768882483243942
