dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8207463826529879,0.09052391937269595,0.125883549451828
ETTm,amazon/chronos-t5-small,0.9347159144937116,0.07899180321975366,0.2046130895614624
dominick,amazon/chronos-t5-small,0.981484604452799,0.3822246325057442,0.08232519030570984
ercot,amazon/chronos-t5-small,0.5624837814829711,0.022200262502628545,0.2821452021598816
exchange_rate,amazon/chronos-t5-small,2.120716987598979,0.015201837404607463,0.3375000059604645
m4_quarterly,amazon/chronos-t5-small,1.4766459253815143,0.10227168585442599,0.11961311101913452
m4_yearly,amazon/chronos-t5-small,4.226327126443706,0.1640491717499639,0.11199389398097992
monash_australian_electricity,amazon/chronos-t5-small,1.147785899743692,0.0772564736636101,0.3977864682674408
monash_car_parts,amazon/chronos-t5-small,1.0367409855544167,1.2061690478714493,0.09438546746969223
monash_cif_2016,amazon/chronos-t5-small,1.106119055120755,0.015576506836429256,0.08984375
monash_covid_deaths,amazon/chronos-t5-small,47.78232289524795,0.11272210930496354,0.2336348593235016
monash_fred_md,amazon/chronos-t5-small,0.6152318954136884,0.04531103253723347,0.22160972654819489
monash_hospital,amazon/chronos-t5-small,0.8629703331132895,0.06564099835245935,0.07043981552124023
monash_m1_monthly,amazon/chronos-t5-small,1.323367795729073,0.14681222043376282,0.10083232820034027
monash_m1_quarterly,amazon/chronos-t5-small,2.0082976903196603,0.1099531866121434,0.12507696449756622
monash_m1_yearly,amazon/chronos-t5-small,5.097993565820301,0.17362832897986405,0.08562096208333969
monash_m3_monthly,amazon/chronos-t5-small,1.0345020536088385,0.11858988010626824,0.12873543798923492
monash_m3_quarterly,amazon/chronos-t5-small,1.5316423012987814,0.09862731372893854,0.11409246921539307
monash_m3_yearly,amazon/chronos-t5-small,3.7687793693445815,0.1996232717033318,0.0960109755396843
monash_nn5_weekly,amazon/chronos-t5-small,0.9743610095478727,0.09314698975924172,0.06436514854431152
monash_tourism_monthly,amazon/chronos-t5-small,2.0513006022879727,0.12469140048586651,0.07581078261137009
monash_tourism_quarterly,amazon/chronos-t5-small,1.8981271537178466,0.0806073254394184,0.07744346559047699
monash_tourism_yearly,amazon/chronos-t5-small,4.118011404113695,0.19279308857605468,0.08923293650150299
monash_traffic,amazon/chronos-t5-small,0.8589004493820069,0.27341884493731416,0.1378992348909378
monash_weather,amazon/chronos-t5-small,0.9590358722730116,0.16692100406347882,0.08344440907239914
nn5,amazon/chronos-t5-small,0.6462362561856188,0.18157470998327846,0.06563957780599594
